Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,26690.000000,26971.000000,26407.000000,26715.000000,26715.000000,254511
2020-09-25,26772.000000,27123.000000,26424.000000,27043.000000,27043.000000,213697
2020-09-28,27060.000000,27600.000000,27060.000000,27482.000000,27482.000000,181940
2020-09-29,27498.000000,27619.000000,27213.000000,27408.000000,27408.000000,175150
2020-09-30,27354.000000,27904.000000,27039.000000,27664.000000,27664.000000,297638
2020-10-01,27606.000000,27962.000000,27543.000000,27689.000000,27689.000000,267513
2020-10-02,27680.000000,27741.000000,27109.000000,27565.000000,27565.000000,281065
2020-10-05,27740.000000,28042.000000,27646.000000,27995.000000,27995.000000,169813
2020-10-06,28010.000000,28232.000000,27531.000000,27700.000000,27700.000000,287020
2020-10-07,27568.000000,28250.000000,27539.000000,28179.000000,28179.000000,193674
2020-10-08,28179.000000,28452.000000,28151.000000,28310.000000,28310.000000,179037
2020-10-09,28378.000000,28570.000000,28324.000000,28518.000000,28518.000000,169790
2020-10-12,28518.000000,28846.000000,28433.000000,28798.000000,28798.000000,173932
2020-10-13,28807.000000,28824.000000,28485.000000,28585.000000,28585.000000,217669
2020-10-14,28577.000000,28726.000000,28343.000000,28414.000000,28414.000000,198474
2020-10-15,28405.000000,28454.000000,28025.000000,28386.000000,28386.000000,222120
2020-10-16,28417.000000,28732.000000,28332.000000,28408.000000,28408.000000,174908
2020-10-19,28496.000000,28669.000000,28025.000000,28100.000000,28100.000000,156936
2020-10-20,28182.000000,28466.000000,28048.000000,28182.000000,28182.000000,170395
2020-10-21,28187.000000,28378.000000,28077.000000,28134.000000,28134.000000,170677
2020-10-22,28130.000000,28313.000000,27896.000000,28268.000000,28268.000000,152049
2020-10-23,28313.000000,28392.000000,28045.000000,28189.000000,28189.000000,132127
2020-10-26,28150.000000,28150.000000,27259.000000,27581.000000,27581.000000,231099
2020-10-27,27581.000000,27713.000000,27232.000000,27365.000000,27365.000000,177038
2020-10-28,27241.000000,27267.000000,26390.000000,26409.000000,26409.000000,335786
2020-10-29,26482.000000,26803.000000,26162.000000,26557.000000,26557.000000,288636
2020-10-30,26303.000000,26533.000000,25953.000000,26394.000000,26394.000000,299846
2020-11-02,26372.000000,26938.000000,26172.000000,26796.000000,26796.000000,218401
2020-11-03,26852.000000,27534.000000,26807.000000,27376.000000,27376.000000,179266
2020-11-04,27401.000000,28194.000000,26903.000000,27735.000000,27735.000000,309164
2020-11-05,27832.000000,28390.000000,27648.000000,28297.000000,28297.000000,193707
2020-11-06,28319.000000,28457.000000,27966.000000,28204.000000,28204.000000,207262
2020-11-09,28386.000000,30000.000000,28328.000000,29048.000000,29048.000000,313050
2020-11-10,29092.000000,29389.000000,28781.000000,29319.000000,29319.000000,227543
2020-11-11,29360.000000,29570.000000,29184.000000,29311.000000,29311.000000,167386
2020-11-12,29366.000000,29367.000000,28815.000000,28992.000000,28992.000000,185689
2020-11-13,29060.000000,29483.000000,28858.000000,29410.000000,29410.000000,156897
2020-11-16,29435.000000,29998.000000,29435.000000,29865.000000,29865.000000,164292
2020-11-17,29892.000000,29898.000000,29449.000000,29720.000000,29720.000000,155946
2020-11-18,29693.000000,29896.000000,29331.000000,29391.000000,29391.000000,164844
2020-11-19,29370.000000,29476.000000,29182.000000,29443.000000,29443.000000,161849
2020-11-20,29270.000000,29440.000000,29123.000000,29212.000000,29212.000000,148845
2020-11-23,29133.000000,29621.000000,29116.000000,29546.000000,29546.000000,154472
2020-11-24,29560.000000,30067.000000,29552.000000,29998.000000,29998.000000,153621
2020-11-25,30029.000000,30165.000000,29757.000000,29828.000000,29828.000000,138712
2020-11-27,null,null,null,null,null,null
2020-11-30,29914.000000,29972.000000,29428.000000,29629.000000,29629.000000,171262
2020-12-01,29680.000000,30057.000000,29614.000000,29804.000000,29804.000000,170022
2020-12-02,29765.000000,29907.000000,29589.000000,29868.000000,29868.000000,146361
2020-12-03,29886.000000,30092.000000,29755.000000,29932.000000,29932.000000,155243
2020-12-04,29945.000000,30216.000000,29935.000000,30198.000000,30198.000000,120262
2020-12-07,30174.000000,30265.000000,29954.000000,30057.000000,30057.000000,131544
2020-12-08,29988.000000,30237.000000,29852.000000,30170.000000,30170.000000,145645
